abstract_id,question,entity,type,umls_id
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,Hirschsprung disease,Disease,C0019569
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,HSCR,Disease,C0019569
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,non-mendelian disorder,Disease,N/A
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,RET,Disease,C0389252
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,non-syndromic,Disease,C5680419
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,Hirschsprung's disease,Disease,C0019569
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,non-syndromic Hirschsprung's disease,Disease,C0019569
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,EDNRB,Disease,C1414263
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,S-HSCR,Disease,N/A
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,multifactorial disorder,Disease,N/A
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,Hirschsprung disease,Cancer,N/A
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,HSCR,Cancer,N/A
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,RET,Gene,N/A
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,GDNF,Gene,N/A
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,EDNRB,Gene,N/A
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,EDN3,Gene,N/A
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,SOX10,Gene,N/A
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,L-HSCR,Cancer,N/A
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,HSCR,Gene,N/A
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,NTN3,Gene,N/A
0,Is Hirschsprung disease a mendelian or a multifactorial disorder?,ECE1,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,tumor,Disease,C0027651
1,List signaling molecules (ligands) that interact with the receptor EGFR?,triple-negative breast tumors,Disease,C3539878
1,List signaling molecules (ligands) that interact with the receptor EGFR?,tumors,Disease,C0027651
1,List signaling molecules (ligands) that interact with the receptor EGFR?,epidermal growth factor receptor,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,EGFR,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,epidermal growth factor,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,EGF,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,amphiregulin,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,AREG,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,transforming growth factor alpha,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,TGFα,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,heparin-binding EGF-like growth factor,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,Betacellulin,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,BTC,Cancer,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,tumor,Cancer,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,chemorefractory,Cancer,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,heparin-binding epidermal growth factor,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,HB-EGF,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,TGFα,Cancer,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,triple-negative breast tumors,Cancer,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,tumors,Cancer,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,betacellulin,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,epiregulin,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,transforming growth factor-α [,Gene,N/A
